2026-03-09 22:26:12.703 [pool-4-thread-2] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=5983, shortCode=2q23YXFgZEU, longUrl=https://www.load-test--1773066372672-43.com, urlHash=ae0313e9c0111e3d39c27b572f9ff70a, status=1, expireTime=2026-03-16T22:26:12.672575900, createTime=2026-03-09T22:26:12.695577800, updateTime=2026-03-09T22:26:12.695577800)
2026-03-09 22:26:12.703 [pool-4-thread-34] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=5977, shortCode=2q23YXG7N2V, longUrl=https://www.load-test--1773066372672-13.com, urlHash=d26c6efc606dea97afe762188a76ccc5, status=1, expireTime=2026-03-16T22:26:12.672575900, createTime=2026-03-09T22:26:12.695577800, updateTime=2026-03-09T22:26:12.695577800)
2026-03-09 22:26:12.703 [pool-4-thread-35] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=5981, shortCode=2q23YXFgZF2, longUrl=https://www.load-test--1773066372672-35.com, urlHash=a09873592810aa8a4cc8bc16b15fc06d, status=1, expireTime=2026-03-16T22:26:12.672575900, createTime=2026-03-09T22:26:12.694577800, updateTime=2026-03-09T22:26:12.694577800)
2026-03-09 22:26:12.707 [pool-4-thread-23] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q23YXFgZEO
2026-03-09 22:26:12.707 [pool-4-thread-29] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=5989, shortCode=2q23YXGGZj2, longUrl=https://www.load-test--1773066372672-26.com, urlHash=842fa7ccd47e1e460a99f51be5bc9903, status=1, expireTime=2026-03-16T22:26:12.672575900, createTime=2026-03-09T22:26:12.698578, updateTime=2026-03-09T22:26:12.698578)
2026-03-09 22:26:12.707 [pool-4-thread-38] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=5986, shortCode=2q23YXFgZEK, longUrl=https://www.load-test--1773066372672-7.com, urlHash=b8e8afa7362bc79d015b0ea8168f5862, status=1, expireTime=2026-03-16T22:26:12.672575900, createTime=2026-03-09T22:26:12.697577300, updateTime=2026-03-09T22:26:12.697577300)
2026-03-09 22:26:12.707 [pool-4-thread-22] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=5987, shortCode=2q23YXFgZEX, longUrl=https://www.load-test--1773066372672-11.com, urlHash=ee1b700f893fa07edf4db518fcb035fb, status=1, expireTime=2026-03-16T22:26:12.672575900, createTime=2026-03-09T22:26:12.698578, updateTime=2026-03-09T22:26:12.698578)
2026-03-09 22:26:12.707 [pool-4-thread-20] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q23YXFyAMU
2026-03-09 22:26:12.707 [pool-4-thread-39] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q23YXFyAMT
2026-03-09 22:26:12.703 [pool-4-thread-40] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=5975, shortCode=2q23YXFgZEI, longUrl=https://www.load-test--1773066372671-2.com, urlHash=825b6acd24ac34caddd769c3fda1e6ab, status=1, expireTime=2026-03-16T22:26:12.671576500, createTime=2026-03-09T22:26:12.695577800, updateTime=2026-03-09T22:26:12.695577800)
2026-03-09 22:26:12.707 [pool-4-thread-19] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q23YXFgZEQ
