2026-03-09 22:35:15.803 [pool-4-thread-48] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=9272, shortCode=2q24D4bpeUh, longUrl=https://www.load-test--1773066915784-592.com, urlHash=39bea308bec188cab387690d11f0ffb3, status=1, expireTime=2026-03-16T22:35:15.784681, createTime=2026-03-09T22:35:15.798768800, updateTime=2026-03-09T22:35:15.798768800)
2026-03-09 22:35:15.803 [pool-4-thread-50] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:15.803 [pool-4-thread-10] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D479fXi
2026-03-09 22:35:15.804 [pool-4-thread-1] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=9271, shortCode=2q24D4bpeUg, longUrl=https://www.load-test--1773066915785-593.com, urlHash=251f1ce017b9ddd24a730ec901e3d520, status=1, expireTime=2026-03-16T22:35:15.785681300, createTime=2026-03-09T22:35:15.798768800, updateTime=2026-03-09T22:35:15.798768800)
2026-03-09 22:35:15.809 [pool-4-thread-29] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D4ayrw6
2026-03-09 22:35:15.803 [pool-4-thread-41] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:15.803 [pool-4-thread-45] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:15.803 [pool-4-thread-39] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D46REPf
2026-03-09 22:35:15.804 [pool-4-thread-47] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:15.810 [pool-4-thread-5] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:15.809 [pool-4-thread-2] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:15.810 [pool-4-thread-20] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D4ayrw4
2026-03-09 22:35:15.810 [pool-4-thread-31] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:15.810 [pool-4-thread-6] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:15.804 [pool-4-thread-23] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D47Isdr
2026-03-09 22:35:15.809 [pool-4-thread-3] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D4ayrw5
2026-03-09 22:35:15.804 [pool-4-thread-27] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D4803lv
2026-03-09 22:35:15.804 [pool-4-thread-40] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D4803lu
2026-03-09 22:35:15.804 [pool-4-thread-37] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D47Isdt
2026-03-09 22:35:15.804 [pool-4-thread-22] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D47Isdq
