2026-03-09 22:35:17.032 [pool-4-thread-37] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10939, shortCode=2q24D9OgfLB, longUrl=https://www.load-test--1773066917021-1260.com, urlHash=e4db9f47b2fa3fc78d42610e6b746c7f, status=1, expireTime=2026-03-16T22:35:17.021601600, createTime=2026-03-09T22:35:17.028479700, updateTime=2026-03-09T22:35:17.028479700)
2026-03-09 22:35:17.033 [pool-4-thread-1] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.034 [pool-4-thread-47] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.032 [pool-4-thread-7] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10941, shortCode=2q24D9OxQTD, longUrl=https://www.load-test--1773066917021-1262.com, urlHash=22793ed7c8fde5d6b5af7781dc577dc8, status=1, expireTime=2026-03-16T22:35:17.021601600, createTime=2026-03-09T22:35:17.028479700, updateTime=2026-03-09T22:35:17.028479700)
2026-03-09 22:35:17.032 [pool-4-thread-19] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10936, shortCode=2q24D9OgfLz, longUrl=https://www.load-test--1773066917020-1258.com, urlHash=fd68dc491cf79d43301907f1c183c6b7, status=1, expireTime=2026-03-16T22:35:17.020601700, createTime=2026-03-09T22:35:17.026899300, updateTime=2026-03-09T22:35:17.026899300)
2026-03-09 22:35:17.033 [pool-4-thread-35] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9Mh3R8
2026-03-09 22:35:17.033 [pool-4-thread-20] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9Mh3R6
2026-03-09 22:35:17.033 [pool-4-thread-46] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9Mh3R7
2026-03-09 22:35:17.033 [pool-4-thread-16] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.033 [pool-4-thread-8] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.034 [pool-4-thread-5] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9MQg7e
2026-03-09 22:35:17.034 [pool-4-thread-30] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.034 [pool-4-thread-41] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.034 [pool-4-thread-40] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9N7Rfj
2026-03-09 22:35:17.034 [pool-4-thread-3] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10943, shortCode=2q24D9OPs1H, longUrl=https://www.load-test--1773066917022-1265.com, urlHash=8b22094e78bff8c1df1dbe393caa8bf3, status=1, expireTime=2026-03-16T22:35:17.022601500, createTime=2026-03-09T22:35:17.029489900, updateTime=2026-03-09T22:35:17.029489900)
2026-03-09 22:35:17.034 [pool-4-thread-31] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10945, shortCode=2q24D9P739K, longUrl=https://www.load-test--1773066917022-1266.com, urlHash=7120286f15fb70196c7132f3a079f005, status=1, expireTime=2026-03-16T22:35:17.022601500, createTime=2026-03-09T22:35:17.029489900, updateTime=2026-03-09T22:35:17.029489900)
2026-03-09 22:35:17.034 [pool-4-thread-26] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10946, shortCode=2q24D9P739L, longUrl=https://www.load-test--1773066917022-1267.com, urlHash=e2fffd20170a62997eb33000706784ae, status=1, expireTime=2026-03-16T22:35:17.022601500, createTime=2026-03-09T22:35:17.030493900, updateTime=2026-03-09T22:35:17.030493900)
2026-03-09 22:35:17.034 [pool-4-thread-34] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10944, shortCode=2q24D9OPs1I, longUrl=https://www.load-test--1773066917022-1264.com, urlHash=41470cfdf9bb1ebd644191e524a8c695, status=1, expireTime=2026-03-16T22:35:17.022601500, createTime=2026-03-09T22:35:17.029489900, updateTime=2026-03-09T22:35:17.029489900)
2026-03-09 22:35:17.034 [pool-4-thread-29] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10942, shortCode=2q24D9OPs1G, longUrl=https://www.load-test--1773066917022-1263.com, urlHash=e2dab7654d643f1c9de7dce940e818aa, status=1, expireTime=2026-03-16T22:35:17.022601500, createTime=2026-03-09T22:35:17.029489900, updateTime=2026-03-09T22:35:17.029489900)
2026-03-09 22:35:17.034 [pool-4-thread-4] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9N7Rfi
2026-03-09 22:35:17.034 [pool-4-thread-43] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9MQg7f
2026-03-09 22:35:17.036 [pool-4-thread-13] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.036 [pool-4-thread-36] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.036 [pool-4-thread-45] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.036 [pool-4-thread-49] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9Npsnp
2026-03-09 22:35:17.036 [pool-4-thread-24] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9NH3vs
2026-03-09 22:35:17.036 [pool-4-thread-9] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.036 [pool-4-thread-33] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9NH3vt
2026-03-09 22:35:17.036 [pool-4-thread-50] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10947, shortCode=2q24D9PoEhO, longUrl=https://www.load-test--1773066917022-1268.com, urlHash=38c0463e446cf0677088cf52f171189d, status=1, expireTime=2026-03-16T22:35:17.022601500, createTime=2026-03-09T22:35:17.031692400, updateTime=2026-03-09T22:35:17.031692400)
2026-03-09 22:35:17.036 [pool-4-thread-39] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9Npsnm
2026-03-09 22:35:17.036 [pool-4-thread-22] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.036 [pool-4-thread-44] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.036 [pool-4-thread-23] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.038 [pool-4-thread-27] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9NH3vq
2026-03-09 22:35:17.038 [pool-4-thread-11] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9Npsnn
2026-03-09 22:35:17.038 [pool-4-thread-18] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9Npsno
2026-03-09 22:35:17.038 [pool-4-thread-28] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9NH3vr
2026-03-09 22:35:17.039 [pool-4-thread-10] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9OxQTC
2026-03-09 22:35:17.039 [pool-4-thread-12] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9OgfLA
2026-03-09 22:35:17.039 [pool-4-thread-21] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9OgfLy
2026-03-09 22:35:17.039 [pool-4-thread-1] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10948, shortCode=2q24D9Qx2O4, longUrl=https://www.load-test--1773066917025-1269.com, urlHash=2cd4ebfe20dc68e667e14b898b96339c, status=1, expireTime=2026-03-16T22:35:17.025888400, createTime=2026-03-09T22:35:17.034703, updateTime=2026-03-09T22:35:17.034703)
2026-03-09 22:35:17.039 [pool-4-thread-47] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10949, shortCode=2q24D9Qx2O5, longUrl=https://www.load-test--1773066917029-1273.com, urlHash=ba6a59f9f6d91e456f408eecb8de15ad, status=1, expireTime=2026-03-16T22:35:17.029489900, createTime=2026-03-09T22:35:17.034703, updateTime=2026-03-09T22:35:17.034703)
2026-03-09 22:35:17.040 [pool-4-thread-15] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.040 [pool-4-thread-38] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.040 [pool-4-thread-32] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.041 [pool-4-thread-48] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.041 [pool-4-thread-37] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9OgfLB
2026-03-09 22:35:17.041 [pool-4-thread-6] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.041 [pool-4-thread-7] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9OxQTD
2026-03-09 22:35:17.041 [pool-4-thread-19] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9OgfLz
2026-03-09 22:35:17.041 [pool-4-thread-42] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.041 [pool-4-thread-31] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9P739K
