2026-03-09 22:42:05.651 [pool-4-thread-49] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12566, shortCode=2q257kAbo88, longUrl=https://www.load-test--1773067325636-258.com, urlHash=138800934ea6c8fb0167eb260506f37c, status=1, expireTime=2026-03-16T22:42:05.636831200, createTime=2026-03-09T22:42:05.647052800, updateTime=2026-03-09T22:42:05.647052800)
2026-03-09 22:42:05.653 [pool-4-thread-24] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12567, shortCode=2q257kAbo89, longUrl=https://www.load-test--1773067325636-255.com, urlHash=9854fed2510282e702f3e8991da7e37b, status=1, expireTime=2026-03-16T22:42:05.636831200, createTime=2026-03-09T22:42:05.647052800, updateTime=2026-03-09T22:42:05.647052800)
2026-03-09 22:42:05.655 [pool-4-thread-7] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kyccdG
2026-03-09 22:42:05.655 [pool-4-thread-37] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kxUB5C
2026-03-09 22:42:05.653 [pool-4-thread-39] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.656 [pool-4-thread-50] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.657 [pool-4-thread-8] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.656 [pool-4-thread-17] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.654 [pool-4-thread-19] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.657 [pool-4-thread-4] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kyLotO
2026-03-09 22:42:05.657 [pool-4-thread-28] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kytNlK
2026-03-09 22:42:05.657 [pool-4-thread-1] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12570, shortCode=2q257kAKAoh, longUrl=https://www.load-test--1773067325640-260.com, urlHash=9eb88f95c8d2e868e411769194a492cd, status=1, expireTime=2026-03-16T22:42:05.640829800, createTime=2026-03-09T22:42:05.649849200, updateTime=2026-03-09T22:42:05.649849200)
2026-03-09 22:42:05.657 [pool-4-thread-15] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kytNlM
2026-03-09 22:42:05.657 [pool-4-thread-42] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12572, shortCode=2q257kBjMEo, longUrl=https://www.load-test--1773067325641-263.com, urlHash=b6bee5aaced9d8233a0df2a2adf5cc90, status=1, expireTime=2026-03-16T22:42:05.641828, createTime=2026-03-09T22:42:05.651860600, updateTime=2026-03-09T22:42:05.651860600)
2026-03-09 22:42:05.654 [pool-4-thread-34] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kxCZXy
2026-03-09 22:42:05.657 [pool-4-thread-32] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kytNlL
2026-03-09 22:42:05.658 [pool-4-thread-12] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.654 [pool-4-thread-38] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.654 [pool-4-thread-23] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kxloPu
2026-03-09 22:42:05.654 [pool-4-thread-41] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257kxloPv
2026-03-09 22:42:05.654 [pool-4-thread-10] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
