2026-03-09 22:42:06.664 [pool-4-thread-49] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14231, shortCode=2q257pd9QDm, longUrl=https://www.load-test--1773067326649-922.com, urlHash=ea7ecf0df4c7d4c6643349e4a539a433, status=1, expireTime=2026-03-16T22:42:06.649297400, createTime=2026-03-09T22:42:06.658289200, updateTime=2026-03-09T22:42:06.658289200)
2026-03-09 22:42:06.664 [pool-4-thread-37] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14234, shortCode=2q257pdrrLq, longUrl=https://www.load-test--1773067326649-925.com, urlHash=fbbb67221943afac64736ae2559722cf, status=1, expireTime=2026-03-16T22:42:06.649297400, createTime=2026-03-09T22:42:06.659289500, updateTime=2026-03-09T22:42:06.659289500)
2026-03-09 22:42:06.664 [pool-4-thread-48] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14232, shortCode=2q257pd9QDn, longUrl=https://www.load-test--1773067326649-924.com, urlHash=bb17273626b702052b40297b79560b1d, status=1, expireTime=2026-03-16T22:42:06.649297400, createTime=2026-03-09T22:42:06.658289200, updateTime=2026-03-09T22:42:06.658289200)
2026-03-09 22:42:06.664 [pool-4-thread-30] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.664 [pool-4-thread-24] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14233, shortCode=2q257pd9QDo, longUrl=https://www.load-test--1773067326649-923.com, urlHash=1e56119adb1c059a0dd78b4567f44e18, status=1, expireTime=2026-03-16T22:42:06.649297400, createTime=2026-03-09T22:42:06.658289200, updateTime=2026-03-09T22:42:06.658289200)
2026-03-09 22:42:06.665 [pool-4-thread-44] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.665 [pool-4-thread-28] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.665 [pool-4-thread-14] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.665 [pool-4-thread-25] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.665 [pool-4-thread-19] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pbsfR0
2026-03-09 22:42:06.665 [pool-4-thread-32] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pbsfQY
2026-03-09 22:42:06.665 [pool-4-thread-38] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pbsfR1
2026-03-09 22:42:06.666 [pool-4-thread-17] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pbaEIV
2026-03-09 22:42:06.666 [pool-4-thread-40] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pbsfQZ
2026-03-09 22:42:06.666 [pool-4-thread-1] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14235, shortCode=2q257pe0E1y, longUrl=https://www.load-test--1773067326650-926.com, urlHash=0eeccc5c9bf0b6aa9e1b1855f1ac2671, status=1, expireTime=2026-03-16T22:42:06.650298800, createTime=2026-03-09T22:42:06.661291300, updateTime=2026-03-09T22:42:06.661291300)
2026-03-09 22:42:06.667 [pool-4-thread-23] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pc1s76
2026-03-09 22:42:06.667 [pool-4-thread-12] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pcj3fc
2026-03-09 22:42:06.667 [pool-4-thread-41] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pcj3fa
2026-03-09 22:42:06.667 [pool-4-thread-46] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.667 [pool-4-thread-39] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.667 [pool-4-thread-3] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pc1s77
2026-03-09 22:42:06.667 [pool-4-thread-47] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pcj3fb
2026-03-09 22:42:06.668 [pool-4-thread-26] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.668 [pool-4-thread-4] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pcj3fd
2026-03-09 22:42:06.668 [pool-4-thread-8] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pc1s78
2026-03-09 22:42:06.669 [pool-4-thread-29] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14237, shortCode=2q257peif9D, longUrl=https://www.load-test--1773067326652-927.com, urlHash=9a23a2a1d2f80796549cf7cb1a3e5c68, status=1, expireTime=2026-03-16T22:42:06.652827900, createTime=2026-03-09T22:42:06.662290800, updateTime=2026-03-09T22:42:06.662290800)
2026-03-09 22:42:06.669 [pool-4-thread-33] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14239, shortCode=2q257peif9C, longUrl=https://www.load-test--1773067326652-928.com, urlHash=f6ed85c649587e1e8432f707a16afb6c, status=1, expireTime=2026-03-16T22:42:06.652827900, createTime=2026-03-09T22:42:06.662290800, updateTime=2026-03-09T22:42:06.662290800)
2026-03-09 22:42:06.669 [pool-4-thread-15] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14240, shortCode=2q257pezQhG, longUrl=https://www.load-test--1773067326654-932.com, urlHash=3f98abdce9d97083190938a31f183f0d, status=1, expireTime=2026-03-16T22:42:06.654838200, createTime=2026-03-09T22:42:06.663287200, updateTime=2026-03-09T22:42:06.663287200)
2026-03-09 22:42:06.669 [pool-4-thread-31] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14236, shortCode=2q257peif9F, longUrl=https://www.load-test--1773067326653-930.com, urlHash=7d9acb85fa4c479ae04b13220e7c0eac, status=1, expireTime=2026-03-16T22:42:06.653842, createTime=2026-03-09T22:42:06.662290800, updateTime=2026-03-09T22:42:06.662290800)
2026-03-09 22:42:06.669 [pool-4-thread-36] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14238, shortCode=2q257peif9E, longUrl=https://www.load-test--1773067326653-929.com, urlHash=1596c77a8cdb5ef44979b3a682239b0b, status=1, expireTime=2026-03-16T22:42:06.653842, createTime=2026-03-09T22:42:06.662290800, updateTime=2026-03-09T22:42:06.662290800)
2026-03-09 22:42:06.669 [pool-4-thread-10] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pcj3fe
2026-03-09 22:42:06.669 [pool-4-thread-5] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14241, shortCode=2q257pezQhH, longUrl=https://www.load-test--1773067326654-931.com, urlHash=87c9bdc57210d0d495601ac11f3f949b, status=1, expireTime=2026-03-16T22:42:06.654838200, createTime=2026-03-09T22:42:06.663287200, updateTime=2026-03-09T22:42:06.663287200)
2026-03-09 22:42:06.669 [pool-4-thread-6] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.669 [pool-4-thread-21] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.669 [pool-4-thread-35] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.669 [pool-4-thread-42] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.671 [pool-4-thread-18] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.671 [pool-4-thread-45] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.671 [pool-4-thread-43] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.671 [pool-4-thread-50] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14242, shortCode=2q257peRrpK, longUrl=https://www.load-test--1773067326657-933.com, urlHash=806f2e5020fa9550570b4cacf46c1c3f, status=1, expireTime=2026-03-16T22:42:06.657278300, createTime=2026-03-09T22:42:06.664288700, updateTime=2026-03-09T22:42:06.664288700)
2026-03-09 22:42:06.671 [pool-4-thread-25] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14246, shortCode=2q257pfIeO0, longUrl=https://www.load-test--1773067326659-936.com, urlHash=cf55680b57bf3b20d86d5b5658d91311, status=1, expireTime=2026-03-16T22:42:06.659289500, createTime=2026-03-09T22:42:06.667289100, updateTime=2026-03-09T22:42:06.667289100)
2026-03-09 22:42:06.671 [pool-4-thread-20] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.671 [pool-4-thread-44] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14243, shortCode=2q257pfIeNX, longUrl=https://www.load-test--1773067326659-935.com, urlHash=c72555b74c0627ecfc86bb9e165c938a, status=1, expireTime=2026-03-16T22:42:06.659289500, createTime=2026-03-09T22:42:06.667289100, updateTime=2026-03-09T22:42:06.667289100)
